cust_id,city,recency_days,purchase_frequency,monetary_value,recency_score,frequency_score,monetary_score,rfm_code,customer_segment
1846,Abu Dhabi,30,109,17773.23,2,5,5,255,At Risk
3969,Dubai,87,115,17572.74,1,5,5,155,At Risk
3727,Dubai,26,115,17473.10,2,5,5,255,At Risk
1169,Dubai,90,107,16918.80,1,5,5,155,At Risk
283,Sharjah,41,103,16879.78,1,4,5,145,At Risk
3680,Dubai,28,126,16806.78,2,5,5,255,At Risk
559,Abu Dhabi,26,117,16736.51,2,5,5,255,At Risk
3756,Dubai,31,117,16388.45,2,5,5,255,At Risk
2360,Abu Dhabi,71,104,16331.14,1,4,5,145,At Risk
4337,Abu Dhabi,47,100,16323.43,1,4,5,145,At Risk
2895,Abu Dhabi,42,98,16219.42,1,3,5,135,At Risk
1966,Dubai,24,108,16205.73,2,5,5,255,At Risk
4227,Sharjah,53,115,16182.67,1,5,5,155,At Risk
249,Dubai,34,107,16105.09,2,5,5,255,At Risk
1852,Sharjah,68,99,16047.01,1,4,5,145,At Risk
267,Abu Dhabi,29,100,16013.61,2,4,5,245,At Risk
701,Dubai,42,108,15920.34,1,5,5,155,At Risk
3285,Sharjah,27,117,15854.24,2,5,5,255,At Risk
1824,Abu Dhabi,105,104,15845.70,1,4,5,145,At Risk
3317,Abu Dhabi,61,91,15765.69,1,2,5,125,At Risk
3678,Abu Dhabi,27,105,15752.47,2,5,5,255,At Risk
509,Abu Dhabi,58,111,15699.42,1,5,5,155,At Risk
3470,Dubai,61,104,15697.79,1,4,5,145,At Risk
2308,Sharjah,71,106,15657.25,1,5,5,155,At Risk
2612,Abu Dhabi,36,120,15572.92,2,5,5,255,At Risk
2217,Dubai,49,124,15487.81,1,5,5,155,At Risk
2124,Dubai,24,106,15471.59,2,5,5,255,At Risk
3544,Dubai,26,127,15464.03,2,5,5,255,At Risk
4689,Abu Dhabi,27,104,15412.68,2,4,5,245,At Risk
4604,Dubai,26,108,15403.41,2,5,5,255,At Risk
3856,Abu Dhabi,33,105,15379.17,2,5,5,255,At Risk
2425,Sharjah,153,109,15368.12,1,5,5,155,At Risk
2273,Sharjah,40,122,15311.14,1,5,5,155,At Risk
3172,Sharjah,35,111,15293.94,2,5,5,255,At Risk
4079,Sharjah,34,109,15268.06,2,5,5,255,At Risk
4442,Dubai,33,111,15235.07,2,5,5,255,At Risk
4221,Sharjah,30,113,15186.93,2,5,5,255,At Risk
3208,Sharjah,61,119,15124.35,1,5,5,155,At Risk
2834,Dubai,29,111,15098.13,2,5,5,255,At Risk
4250,Dubai,76,114,15097.09,1,5,5,155,At Risk
655,Dubai,38,110,15068.55,2,5,5,255,At Risk
4094,Dubai,24,104,15053.85,2,4,5,245,At Risk
1575,Sharjah,33,112,15027.38,2,5,5,255,At Risk
4481,Abu Dhabi,31,118,15018.73,2,5,5,255,At Risk
2245,Dubai,47,107,15012.74,1,5,5,155,At Risk
4769,Dubai,53,117,14987.09,1,5,5,155,At Risk
369,Dubai,33,116,14962.93,2,5,5,255,At Risk
3705,Sharjah,35,102,14927.66,2,4,5,245,At Risk
4014,Dubai,25,114,14891.46,2,5,5,255,At Risk
884,Sharjah,23,104,14884.05,2,4,5,245,At Risk
2574,Sharjah,23,106,14873.27,2,5,5,255,At Risk
404,Abu Dhabi,24,102,14835.28,2,4,5,245,At Risk
1074,Dubai,53,104,14818.98,1,4,5,145,At Risk
4890,Dubai,34,107,14818.41,2,5,5,255,At Risk
3676,Sharjah,31,111,14817.62,2,5,5,255,At Risk
1638,Abu Dhabi,30,113,14789.18,2,5,5,255,At Risk
2578,Abu Dhabi,35,125,14766.85,2,5,5,255,At Risk
4,Abu Dhabi,40,90,14759.84,1,2,5,125,At Risk
2807,Sharjah,77,97,14740.65,1,3,5,135,At Risk
