cohort_month,months_since_signup,cohort_size,retained_customers,retention_rate_pct
2021-01-01,0,99,87,87.88
2021-01-01,1,99,80,80.81
2021-01-01,2,99,76,76.77
2021-01-01,3,99,72,72.73
2021-01-01,4,99,93,93.94
2021-01-01,5,99,88,88.89
2021-01-01,6,99,83,83.84
2021-01-01,7,99,85,85.86
2021-01-01,8,99,69,69.70
2021-01-01,9,99,64,64.65
2021-01-01,10,99,75,75.76
2021-01-01,11,99,77,77.78
2021-01-01,12,99,90,90.91
2021-01-01,13,99,82,82.83
2021-01-01,14,99,72,72.73
2021-01-01,15,99,86,86.87
2021-01-01,16,99,89,89.90
2021-01-01,17,99,83,83.84
2021-01-01,18,99,76,76.77
2021-01-01,19,99,82,82.83
2021-01-01,20,99,73,73.74
2021-01-01,21,99,75,75.76
2021-01-01,22,99,65,65.66
2021-01-01,23,99,80,80.81
2021-01-01,24,99,88,88.89
2021-01-01,25,99,82,82.83
2021-01-01,26,99,72,72.73
2021-01-01,27,99,82,82.83
2021-01-01,28,99,80,80.81
2021-01-01,29,99,82,82.83
2021-01-01,30,99,82,82.83
2021-01-01,31,99,74,74.75
2021-01-01,32,99,72,72.73
2021-01-01,33,99,69,69.70
2021-01-01,34,99,74,74.75
2021-01-01,35,99,73,73.74
2021-01-01,36,99,91,91.92
2021-01-01,37,99,87,87.88
2021-01-01,38,99,75,75.76
2021-01-01,39,99,86,86.87
2021-01-01,40,99,86,86.87
2021-01-01,41,99,81,81.82
2021-01-01,42,99,81,81.82
2021-01-01,43,99,80,80.81
2021-01-01,44,99,64,64.65
2021-01-01,45,99,73,73.74
2021-01-01,46,99,77,77.78
2021-01-01,47,99,79,79.80
2021-01-01,48,99,90,90.91
2021-01-01,49,99,86,86.87
2021-01-01,50,99,91,91.92
2021-01-01,51,99,71,71.72
2021-01-01,52,99,86,86.87
2021-01-01,53,99,84,84.85
2021-01-01,54,99,83,83.84
2021-01-01,55,99,83,83.84
2021-01-01,56,99,71,71.72
2021-01-01,57,99,77,77.78
2021-02-01,0,66,55,83.33
2021-02-01,1,66,49,74.24
2021-02-01,2,66,54,81.82
2021-02-01,3,66,60,90.91
2021-02-01,4,66,54,81.82
2021-02-01,5,66,57,86.36
2021-02-01,6,66,52,78.79
2021-02-01,7,66,44,66.67
2021-02-01,8,66,47,71.21
2021-02-01,9,66,52,78.79
2021-02-01,10,66,51,77.27
2021-02-01,11,66,58,87.88
2021-02-01,12,66,56,84.85
2021-02-01,13,66,49,74.24
2021-02-01,14,66,51,77.27
2021-02-01,15,66,55,83.33
2021-02-01,16,66,53,80.30
2021-02-01,17,66,55,83.33
2021-02-01,18,66,47,71.21
2021-02-01,19,66,44,66.67
2021-02-01,20,66,57,86.36
2021-02-01,21,66,55,83.33
2021-02-01,22,66,55,83.33
2021-02-01,23,66,62,93.94
2021-02-01,24,66,51,77.27
2021-02-01,25,66,54,81.82
2021-02-01,26,66,53,80.30
2021-02-01,27,66,61,92.42
2021-02-01,28,66,54,81.82
2021-02-01,29,66,58,87.88
2021-02-01,30,66,51,77.27
2021-02-01,31,66,52,78.79
2021-02-01,32,66,42,63.64
2021-02-01,33,66,52,78.79
2021-02-01,34,66,51,77.27
2021-02-01,35,66,63,95.45
2021-02-01,36,66,57,86.36
2021-02-01,37,66,54,81.82
2021-02-01,38,66,53,80.30
2021-02-01,39,66,57,86.36
2021-02-01,40,66,48,72.73
2021-02-01,41,66,50,75.76
2021-02-01,42,66,52,78.79
2021-02-01,43,66,43,65.15
2021-02-01,44,66,48,72.73
2021-02-01,45,66,44,66.67
2021-02-01,46,66,49,74.24
2021-02-01,47,66,60,90.91
2021-02-01,48,66,54,81.82
2021-02-01,49,66,53,80.30
2021-02-01,50,66,48,72.73
2021-02-01,51,66,56,84.85
2021-02-01,52,66,52,78.79
2021-02-01,53,66,57,86.36
2021-02-01,54,66,52,78.79
2021-02-01,55,66,45,68.18
2021-02-01,56,66,42,63.64
2021-03-01,0,94,71,75.53
2021-03-01,1,94,77,81.91
2021-03-01,2,94,85,90.43
2021-03-01,3,94,77,81.91
2021-03-01,4,94,71,75.53
2021-03-01,5,94,79,84.04
2021-03-01,6,94,58,61.70
2021-03-01,7,94,63,67.02
2021-03-01,8,94,64,68.09
2021-03-01,9,94,71,75.53
2021-03-01,10,94,85,90.43
2021-03-01,11,94,81,86.17
2021-03-01,12,94,67,71.28
2021-03-01,13,94,78,82.98
2021-03-01,14,94,83,88.30
2021-03-01,15,94,79,84.04
2021-03-01,16,94,85,90.43
2021-03-01,17,94,80,85.11
2021-03-01,18,94,72,76.60
2021-03-01,19,94,63,67.02
2021-03-01,20,94,65,69.15
2021-03-01,21,94,78,82.98
2021-03-01,22,94,86,91.49
2021-03-01,23,94,80,85.11
2021-03-01,24,94,66,70.21
2021-03-01,25,94,74,78.72
2021-03-01,26,94,79,84.04
2021-03-01,27,94,84,89.36
2021-03-01,28,94,80,85.11
2021-03-01,29,94,77,81.91
2021-03-01,30,94,72,76.60
2021-03-01,31,94,66,70.21
2021-03-01,32,94,69,73.40
2021-03-01,33,94,71,75.53
2021-03-01,34,94,87,92.55
2021-03-01,35,94,81,86.17
2021-03-01,36,94,69,73.40
2021-03-01,37,94,67,71.28
2021-03-01,38,94,80,85.11
2021-03-01,39,94,78,82.98
2021-03-01,40,94,74,78.72
2021-03-01,41,94,76,80.85
2021-03-01,42,94,65,69.15
2021-03-01,43,94,70,74.47
2021-03-01,44,94,60,63.83
