region,category,category_revenue,category_units,category_share_pct
Abu Dhabi,Electronics,11425390.841207504,100850,55.75
Abu Dhabi,Household,2291222.954073429,70296,11.18
Abu Dhabi,Personal Care,2290406.211078644,51427,11.18
Abu Dhabi,Grocery,1555182.4229588509,58761,7.59
Abu Dhabi,Snacks,1206574.1154031754,91702,5.89
Abu Dhabi,Dairy,1190941.9769852161,58780,5.81
Abu Dhabi,Beverages,533931.440557003,37295,2.61
Dubai,Electronics,22865328.716715813,202081,55.71
Dubai,Household,4585093.41022253,141555,11.17
Dubai,Personal Care,4576864.133495331,103032,11.15
Dubai,Grocery,3128631.146314621,117673,7.62
Dubai,Snacks,2438815.3513373137,184615,5.94
Dubai,Dairy,2372144.344465971,118036,5.78
Dubai,Beverages,1077969.2605040073,74960,2.63
Sharjah,Electronics,6504074.318582535,57245,55.70
Sharjah,Household,1314717.0569400787,40066,11.26
Sharjah,Personal Care,1314821.5802898407,29406,11.26
Sharjah,Grocery,881182.3316354752,33503,7.55
Sharjah,Snacks,676027.9533110857,51155,5.79
Sharjah,Dairy,675310.2484316826,33383,5.78
Sharjah,Beverages,310301.49036335945,21392,2.66
