cust_id,city,total_spend,spend_tier
1846,Abu Dhabi,17773.23,High
1404,Dubai,17600.11,High
3969,Dubai,17572.74,High
3727,Dubai,17473.10,High
4900,Dubai,17367.41,High
4184,Dubai,17304.00,High
3845,Dubai,17287.19,High
1962,Sharjah,17213.00,High
1343,Abu Dhabi,17028.26,High
3378,Abu Dhabi,16938.89,High
1169,Dubai,16918.80,High
283,Sharjah,16879.78,High
3680,Dubai,16806.78,High
559,Abu Dhabi,16736.51,High
4915,Sharjah,16714.40,High
2636,Dubai,16667.04,High
3424,Dubai,16619.60,High
3756,Dubai,16388.45,High
2771,Dubai,16382.08,High
2804,Sharjah,16349.96,High
2360,Abu Dhabi,16331.14,High
4337,Abu Dhabi,16323.43,High
3865,Dubai,16312.48,High
3695,Sharjah,16268.35,High
2895,Abu Dhabi,16219.42,High
1966,Dubai,16205.73,High
467,Abu Dhabi,16188.26,High
4227,Sharjah,16182.67,High
2923,Sharjah,16157.08,High
249,Dubai,16105.09,High
702,Sharjah,16090.01,High
4316,Abu Dhabi,16060.85,High
4078,Dubai,16060.36,High
1852,Sharjah,16047.01,High
4510,Sharjah,16042.56,High
267,Abu Dhabi,16013.61,High
4524,Abu Dhabi,15986.84,High
701,Dubai,15920.34,High
4377,Abu Dhabi,15916.86,High
2166,Abu Dhabi,15863.14,High
3285,Sharjah,15854.24,High
1867,Abu Dhabi,15852.97,High
4742,Abu Dhabi,15848.91,High
1824,Abu Dhabi,15845.70,High
4396,Sharjah,15843.10,High
3469,Sharjah,15778.61,High
3317,Abu Dhabi,15765.69,High
455,Dubai,15765.21,High
3678,Abu Dhabi,15752.47,High
3873,Dubai,15750.20,High
509,Abu Dhabi,15699.42,High
3470,Dubai,15697.79,High
3272,Dubai,15681.68,High
4345,Abu Dhabi,15657.52,High
2308,Sharjah,15657.25,High
705,Dubai,15641.62,High
3794,Sharjah,15638.46,High
2612,Abu Dhabi,15572.92,High
132,Dubai,15552.86,High
414,Dubai,15521.86,High
2217,Dubai,15487.81,High
348,Sharjah,15483.89,High
2124,Dubai,15471.59,High
3544,Dubai,15464.03,High
4356,Dubai,15462.83,High
4840,Abu Dhabi,15461.05,High
66,Dubai,15436.67,High
3084,Abu Dhabi,15430.33,High
1324,Sharjah,15427.23,High
4689,Abu Dhabi,15412.68,High
250,Abu Dhabi,15411.92,High
3857,Abu Dhabi,15403.87,High
4604,Dubai,15403.41,High
4869,Abu Dhabi,15394.96,High
2461,Dubai,15379.69,High
3856,Abu Dhabi,15379.17,High
2425,Sharjah,15368.12,High
224,Dubai,15346.52,High
3536,Sharjah,15334.55,High
2273,Sharjah,15311.14,High
2625,Dubai,15294.43,High
3172,Sharjah,15293.94,High
1869,Abu Dhabi,15288.37,High
394,Dubai,15281.79,High
4079,Sharjah,15268.06,High
3403,Abu Dhabi,15249.89,High
4248,Sharjah,15242.07,High
3591,Sharjah,15241.01,High
4442,Dubai,15235.07,High
724,Dubai,15222.07,High
4221,Sharjah,15186.93,High
4969,Abu Dhabi,15140.37,High
4723,Dubai,15133.50,High
3208,Sharjah,15124.35,High
526,Dubai,15121.97,High
4178,Dubai,15107.12,High
2834,Dubai,15098.13,High
4250,Dubai,15097.09,High
1462,Dubai,15068.79,High
655,Dubai,15068.55,High
4094,Dubai,15053.85,High
1888,Dubai,15041.45,High
4587,Dubai,15041.20,High
1575,Sharjah,15027.38,High
3151,Abu Dhabi,15019.73,High
4481,Abu Dhabi,15018.73,High
2245,Dubai,15012.74,High
2977,Abu Dhabi,14996.11,Medium
4769,Dubai,14987.09,Medium
4955,Sharjah,14984.97,Medium
1173,Abu Dhabi,14972.03,Medium
