cust_id,city,total_spend,avg_customer_spend
1846,Abu Dhabi,17773.23,10975.373986
1404,Dubai,17600.11,10975.373986
3969,Dubai,17572.74,10975.373986
3727,Dubai,17473.10,10975.373986
4900,Dubai,17367.41,10975.373986
4184,Dubai,17304.00,10975.373986
3845,Dubai,17287.19,10975.373986
1962,Sharjah,17213.00,10975.373986
1343,Abu Dhabi,17028.26,10975.373986
3378,Abu Dhabi,16938.89,10975.373986
1169,Dubai,16918.80,10975.373986
283,Sharjah,16879.78,10975.373986
3680,Dubai,16806.78,10975.373986
559,Abu Dhabi,16736.51,10975.373986
4915,Sharjah,16714.40,10975.373986
2636,Dubai,16667.04,10975.373986
3424,Dubai,16619.60,10975.373986
3756,Dubai,16388.45,10975.373986
2771,Dubai,16382.08,10975.373986
2804,Sharjah,16349.96,10975.373986
2360,Abu Dhabi,16331.14,10975.373986
4337,Abu Dhabi,16323.43,10975.373986
3865,Dubai,16312.48,10975.373986
3695,Sharjah,16268.35,10975.373986
2895,Abu Dhabi,16219.42,10975.373986
1966,Dubai,16205.73,10975.373986
467,Abu Dhabi,16188.26,10975.373986
4227,Sharjah,16182.67,10975.373986
2923,Sharjah,16157.08,10975.373986
249,Dubai,16105.09,10975.373986
702,Sharjah,16090.01,10975.373986
4316,Abu Dhabi,16060.85,10975.373986
4078,Dubai,16060.36,10975.373986
1852,Sharjah,16047.01,10975.373986
4510,Sharjah,16042.56,10975.373986
267,Abu Dhabi,16013.61,10975.373986
4524,Abu Dhabi,15986.84,10975.373986
701,Dubai,15920.34,10975.373986
4377,Abu Dhabi,15916.86,10975.373986
2166,Abu Dhabi,15863.14,10975.373986
3285,Sharjah,15854.24,10975.373986
1867,Abu Dhabi,15852.97,10975.373986
4742,Abu Dhabi,15848.91,10975.373986
1824,Abu Dhabi,15845.70,10975.373986
4396,Sharjah,15843.10,10975.373986
3469,Sharjah,15778.61,10975.373986
3317,Abu Dhabi,15765.69,10975.373986
455,Dubai,15765.21,10975.373986
3678,Abu Dhabi,15752.47,10975.373986
3873,Dubai,15750.20,10975.373986
509,Abu Dhabi,15699.42,10975.373986
3470,Dubai,15697.79,10975.373986
3272,Dubai,15681.68,10975.373986
4345,Abu Dhabi,15657.52,10975.373986
2308,Sharjah,15657.25,10975.373986
705,Dubai,15641.62,10975.373986
3794,Sharjah,15638.46,10975.373986
2612,Abu Dhabi,15572.92,10975.373986
132,Dubai,15552.86,10975.373986
414,Dubai,15521.86,10975.373986
2217,Dubai,15487.81,10975.373986
348,Sharjah,15483.89,10975.373986
2124,Dubai,15471.59,10975.373986
3544,Dubai,15464.03,10975.373986
4356,Dubai,15462.83,10975.373986
4840,Abu Dhabi,15461.05,10975.373986
66,Dubai,15436.67,10975.373986
3084,Abu Dhabi,15430.33,10975.373986
1324,Sharjah,15427.23,10975.373986
4689,Abu Dhabi,15412.68,10975.373986
250,Abu Dhabi,15411.92,10975.373986
3857,Abu Dhabi,15403.87,10975.373986
4604,Dubai,15403.41,10975.373986
4869,Abu Dhabi,15394.96,10975.373986
2461,Dubai,15379.69,10975.373986
3856,Abu Dhabi,15379.17,10975.373986
2425,Sharjah,15368.12,10975.373986
224,Dubai,15346.52,10975.373986
3536,Sharjah,15334.55,10975.373986
2273,Sharjah,15311.14,10975.373986
2625,Dubai,15294.43,10975.373986
