region,store_id,store_name,total_revenue,store_rank_within_region
Abu Dhabi,49,BlueMart Store 49,1494703.150112629,1
Abu Dhabi,4,BlueMart Store 04,1492571.171000719,2
Abu Dhabi,18,BlueMart Store 18,1478034.9204745293,3
Abu Dhabi,29,BlueMart Store 29,1474651.2608630657,4
Abu Dhabi,48,BlueMart Store 48,1471703.4495668411,5
Abu Dhabi,31,BlueMart Store 31,1471607.8096183538,6
Abu Dhabi,21,BlueMart Store 21,1464535.181022644,7
Abu Dhabi,26,BlueMart Store 26,1462975.239213705,8
Abu Dhabi,46,BlueMart Store 46,1462555.0701555014,9
Abu Dhabi,10,BlueMart Store 10,1461350.1900361776,10
Abu Dhabi,28,BlueMart Store 28,1453566.5399153233,11
Abu Dhabi,9,BlueMart Store 09,1443590.5399446487,12
Abu Dhabi,39,BlueMart Store 39,1436763.9798243046,13
Abu Dhabi,3,BlueMart Store 03,1425041.46051538,14
Dubai,41,BlueMart Store 41,1500116.7598724365,1
Dubai,11,BlueMart Store 11,1496556.0194613934,2
Dubai,37,BlueMart Store 37,1489346.5389597416,3
Dubai,17,BlueMart Store 17,1484028.190842867,4
Dubai,19,BlueMart Store 19,1481150.230531931,5
Dubai,50,BlueMart Store 50,1480931.5906016827,6
Dubai,7,BlueMart Store 07,1480498.1705266237,7
Dubai,32,BlueMart Store 32,1478497.209410429,8
Dubai,24,BlueMart Store 24,1476225.6395275593,9
Dubai,5,BlueMart Store 05,1474363.7896088362,10
Dubai,15,BlueMart Store 15,1474126.0304882526,11
Dubai,14,BlueMart Store 14,1473495.6612496376,12
Dubai,40,BlueMart Store 40,1468170.0802078247,13
Dubai,6,BlueMart Store 06,1467798.0104476213,14
Dubai,16,BlueMart Store 16,1466637.1903407574,15
Dubai,33,BlueMart Store 33,1466636.860198021,16
Dubai,45,BlueMart Store 45,1461358.2312955856,17
Dubai,22,BlueMart Store 22,1458688.4302790165,18
Dubai,25,BlueMart Store 25,1456647.269969821,19
Dubai,43,BlueMart Store 43,1455921.489916563,20
Dubai,38,BlueMart Store 38,1453941.3110595942,21
Dubai,30,BlueMart Store 30,1452789.7491782904,22
Dubai,47,BlueMart Store 47,1449578.3999509811,23
Dubai,20,BlueMart Store 20,1448731.1194429398,24
Dubai,23,BlueMart Store 23,1446505.6394953728,25
Dubai,1,BlueMart Store 01,1439728.8895879984,26
Dubai,27,BlueMart Store 27,1431269.660024643,27
Dubai,42,BlueMart Store 42,1431108.2005791664,28
Sharjah,44,BlueMart Store 44,1493356.4993851185,1
Sharjah,35,BlueMart Store 35,1486622.300355792,2
Sharjah,8,BlueMart Store 08,1486432.9000569582,3
Sharjah,13,BlueMart Store 13,1464331.3592028618,4
Sharjah,34,BlueMart Store 34,1444785.9203196764,5
Sharjah,36,BlueMart Store 36,1437266.4894423485,6
Sharjah,2,BlueMart Store 02,1435321.929833889,7
Sharjah,12,BlueMart Store 12,1428317.5809574127,8
